id,taxonomy,name_en,name_de,latitude,longitude,points,cityId,imageUrl,description_en,description_de,isActive,isTheme,endDate,startDate,label,userId,pin,address
clz6290n50000dyww697eom6b,ATTRACTION,Anlagen Lake,Anlagensee,48.517303,9.055636,120,clz627elo0000mybntk1bb38g,,A beautiful lake in the city,perfect for a peaceful stroll,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/forest.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2ZvcmVzdC5wbmciLCJpYXQiOjE3MjMzNzY2ODYsImV4cCI6MTc1NDkxMjY4Nn0.bqZ27ZiDv93I5KR4HFCP5pzVThN_y03kQRwv47abxAM&t=2024-08-11T11%3A44%3A46.879Z,
clz6290pk0001dywwb8rdq9j9,ATTRACTION,Old Botanical Garden,Alter Botanischer Garten,48.523611,9.057672,200,clz627elo0000mybntk1bb38g,,An old garden featuring diverse plant species,Ein alter Garten mit einer Vielzahl von Pflanzenarten,true,true,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/forest.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2ZvcmVzdC5wbmciLCJpYXQiOjE3MjMzNzY2ODYsImV4cCI6MTc1NDkxMjY4Nn0.bqZ27ZiDv93I5KR4HFCP5pzVThN_y03kQRwv47abxAM&t=2024-08-11T11%3A44%3A46.879Z,
clz6290s30002dywwdb6zp6wq,ATTRACTION,Old Auditorium,Alte Aula,48.519986,9.05579,150,clz627elo0000mybntk1bb38g,,A historical building with significant cultural value,Ein historisches Gebäude von großer kultureller Bedeutung,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6290un0003dywwk70u12s5,ATTRACTION,Tomb of Hölderlin,Mathematische Dauerausstellung,48.538031,9.036652,211,clz627elo0000mybntk1bb38g,,A permanent exhibition on mathematics,Eine Dauerausstellung über Mathematik,true,true,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6290wz0004dyww2bk3m9xi,ATTRACTION,Johannes Church,Johannes Kirche,48.521892,9.054562,170,clz627elo0000mybntk1bb38g,,A beautiful church named after St. John,Eine schöne Kirche benannt nach St. Johannes,true,,,,,,,
clz6290zc0005dyww0q7ucj5u,ATTRACTION,Castle Observatory,Schloss-Sternwarte,48.5197,9.052294,130,clz627elo0000mybntk1bb38g,,An observatory in the castle grounds,Eine Sternwarte auf dem Burggelände,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/castle.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL2Nhc3RsZS5wbmciLCJpYXQiOjE3MjMzNzY4MDQsImV4cCI6MTc1NDkxMjgwNH0.oQfmdAKLjQMsmr2uqDkugeMzcSAbSe4d8dhvb4gpfF8&t=2024-08-11T11%3A46%3A44.553Z,
clz62912u0006dyww0uhnhg1d,ATTRACTION,Mineralogical collection of University of Tübingen,Mineralogische Sammlung der Universität Tübingen,48.533579,9.06438,160,clz627elo0000mybntk1bb38g,,A collection showcasing minerals and rocks,Eine Sammlung von Mineralien und Gesteinen,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz62915d0007dywwoz3phn3i,ATTRACTION,Market Square,Markt Platz,48.520478,9.053589,180,clz627elo0000mybntk1bb38g,,The central square bustling with activity,Der zentrale Platz voller Leben,true,,,,,,,
clz62917y0008dywwcvopa01p,ATTRACTION,Wurmlinger Chapel,Wurmlinger Kapelle,48.519107,9.047348,180,clz627elo0000mybntk1bb38g,,A chapel offering panoramic views of the city,Eine Kapelle mit Panoramablick auf die Stadt,true,,,,,,https://tcggkqkumgamaeqkyxvg.supabase.co/storage/v1/object/sign/los_images/poi.png?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJsb3NfaW1hZ2VzL3BvaS5wbmciLCJpYXQiOjE3MjMzNzYzMTMsImV4cCI6MTc1NDkxMjMxM30.X3a-_1KXETFC8HbAweaRznzTou-xWQLlaEAM8pWZG3w&t=2024-08-11T11%3A38%3A33.785Z,
clz6291ae0009dywwalt4lri7,ATTRACTION,Tübingen Observatory,Sternwarte Tübingen,48.537741,9.05553,140,clz627elo0000mybntk1bb38g,,A historic observatory for astronomical studies,Eine historische Sternwarte für astronomische Studien,true,,,,,,,
